"Subject"	"Q1.a"	"Q1.b"	"Q1.c"	"Q1.d"	"Q1.e"	"Q2.a"	"Q2.b"	"Q2.c"	"Q2.d"	"Q2.e"	"Q2.f"	"Q2.g"	"Q2.h"	"Suspected"	"Game.affect.distraction"	"Surprise"	"Station"	"Condition"	"Game.1"	"Game.2"	"Game.3"	"Game.4"	"Game.5"	"Game.6"	"RA"	"goodSession"	"Assignment"	"irritated"	"happy"	"angered"	"helpful"	"pleased"	"annoyed"	"easy.nav"	"excited"	"engaged"	"challenging"	"stressful"	"violence"	"diff.nav"	"reflexes"	"satisfying"	"effective"	"difficult"	"good.fight"	"hard.control"	"mental.effort"	"comfort.control"	"exhausting"	"aggressed"	"enjoyed"	"often.played"	"FPS.experience"	"FPS.skill"	"mkb.experience"	"vg.freq"	"vg.cumul"	"age"	"race"	"race2"	"year"	"GPA"	"knew.others"	"knew.partner"	"gender"	"rating1"	"rating2"	"rating3"	"rating4"	"rating5"	"rating6"	"L_ring_length"	"L_ring_angle"	"L_index_length"	"L_index_angle"	"R_index_length"	"R_index_angle"	"R_ring_length"	"R_ring_angle"	"DV"	"Violence"	"Difficulty"	"L2d4d"	"R2d4d"
312	0	1	1	1	0	1	0	0	0	0	1	1	0	1	"No"	"Yes"	1	4	2	240	6	806	107	59	"AS"	"Yes"	9	7	1	4	1	1	7	5	5	6	4	2	3	3	6	7	6	5	5	4	5	6	3	2	5	2	6	4	5	2	5	18	2	NA	1	3.79	"No"	"No"	"M"	NA	NA	NA	NA	NA	NA	877.15	87.98	838.1	80.695	857.9	88.26	869.2	78.585	9	"Less Violent"	"Hard"	0.955480818560109	0.986999539806719
314	0	1	0	0	0	1	1	0	0	0	0	0	0	2	"No"	"Yes"	1	2	4	373	9	1143	148	109	"EM"	"Yes"	9	6	1	4	1	1	6	5	5	6	6	4	6	3	4	6	6	3	5	3	2	6	2	4	6	5	6	6	4	6	7	18	5	NA	1	3.5	"No"	"No"	"M"	NA	NA	NA	NA	NA	NA	867.65	84.845	837.15	87.845	820.25	86.23	844.95	79.57	9	"Violent"	"Hard"	0.964847576787875	0.970767501035564
316	0	0	1	0	0	0	0	1	0	0	0	1	0	4	"Maybe"	"Yes"	1	4	6	369	19	1410	62	138	"HG"	"Yes"	5	5	2	6	1	1	1	7	5	6	5	1	1	6	6	5	5	3	4	1	5	7	2	2	4	7	7	5	7	7	7	18	5	NA	1	3	"No"	"No"	"M"	NA	NA	NA	NA	NA	NA	913.2	86.55	856.6	82.35	837.8	87.505	907.7	87.095	5	"Less Violent"	"Hard"	0.938020148926851	0.922992178032389
318	0	1	0	0	0	1	0	0	0	0	0	0	0	4	"No"	"Yes"	1	2	NA	NA	NA	NA	NA	NA	"AS"	"Maybe"	1	5	3	5	1	1	5	7	7	7	5	2	7	1	5	6	6	2	2	1	5	7	3	6	6	5	7	6	7	3	6	20	5	NA	2	4	"No"	"No"	"M"	NA	NA	NA	NA	NA	NA	947	85.915	883.45	86.79	897	87.285	971.35	81.855	1	"Violent"	"Hard"	0.932893347412883	0.923457044319761
319	0	1	0	0	0	1	0	0	0	0	0	0	0	5	"No"	"Yes"	4	3	0	458	15	334	358	0	"EW"	"Yes"	9	5	1	6	1	1	6	7	6	6	1	1	1	1	1	3	5	3	1	2	4	7	3	5	4	3	7	5	4	4	4	18	5	NA	1	3.4	"Yes"	"No"	"M"	NA	NA	NA	NA	NA	NA	1012	81.595	931.05	89.325	922.85	88.54	980.45	83.71	9	"Less Violent"	"Easy"	0.920009881422925	0.941251466163496
320	0	1	0	0	0	1	0	0	0	0	0	0	0	3	"No"	"Yes"	1	4	14	276	7	1554	24	167	"AS"	"Yes"	7	7	1	7	1	2	6	7	4	5	3	3	1	2	3	6	5	5	5	3	2	7	2	1	2	2	7	7	3	6	5	18	5	NA	1	4	"No"	"Yes"	"M"	NA	NA	NA	NA	NA	NA	858.15	88.935	827.7	83.935	805.4	86.66	876	88.035	7	"Less Violent"	"Hard"	0.964516692885859	0.919406392694064
321	0	1	0	0	0	1	1	0	0	0	1	0	0	2	"No"	"Maybe"	1	1	0	379	13	577	233	0	"AS"	"Yes"	9	7	1	6	1	1	6	7	5	3	1	1	7	1	1	7	7	2	1	1	1	7	1	6	5	1	6	2	7	2	2	18	5	NA	1	3.96	"No"	"No"	"M"	NA	NA	NA	NA	NA	NA	946.25	81.77	921.85	88.51	919.2	88.845	921.35	85.145	9	"Violent"	"Easy"	0.974214002642008	0.997666467683291
322	0	1	0	1	0	1	1	0	0	0	1	0	0	NA	NA	NA	4	2	0	305	10	1123	80	48	"RP"	"Yes"	9	6	2	4	1	1	7	7	7	7	3	1	5	1	3	7	7	1	3	1	5	7	1	4	7	5	7	5	7	7	7	18	5	NA	1	3.9	"No"	"No"	"M"	NA	NA	NA	NA	NA	NA	946.65	89.18	930.95	84.39	946.35	77.52	944.95	87.4	9	"Violent"	"Hard"	0.983415200971848	1.00148155987089
324	0	1	0	1	0	0	0	0	0	1	0	0	0	1	"No"	"Maybe"	4	4	1	227	4	1075	83	48	"RP"	"Yes"	6	5	1	1	4	1	4	3	5	7	3	1	1	1	1	4	5	1	2	6	1	2	1	1	7	6	7	7	1	7	7	18	2	NA	1	3.5	"No"	"No"	"M"	NA	NA	NA	NA	NA	NA	940.05	89.42	855.3	82.51	827.4	81.59	960.8	87.705	6	"Less Violent"	"Hard"	0.909845220998883	0.861157368859284
325	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	0	516	18	2364	99	0	"HG"	"Yes"	5	3	1	6	3	2	5	6	6	6	2	3	6	2	4	5	5	2	2	3	4	6	3	5	5	4	6	6	5	3	5	19	5	NA	1	3.82	"No"	"No"	"Male"	NA	NA	NA	NA	NA	NA	935	89.725	867.85	83.35	867.55	84.175	930.7	88.865	5	"Violent"	"Easy"	0.928181818181818	0.932147845707532
