"Subject"	"Q1.a"	"Q1.b"	"Q1.c"	"Q1.d"	"Q1.e"	"Q2.a"	"Q2.b"	"Q2.c"	"Q2.d"	"Q2.e"	"Q2.f"	"Q2.g"	"Q2.h"	"Suspected"	"Game.affect.distraction"	"Surprise"	"Station"	"Condition"	"Game.1"	"Game.2"	"Game.3"	"Game.4"	"Game.5"	"Game.6"	"RA"	"goodSession"	"Assignment"	"irritated"	"happy"	"angered"	"helpful"	"pleased"	"annoyed"	"easy.nav"	"excited"	"engaged"	"challenging"	"stressful"	"violence"	"diff.nav"	"reflexes"	"satisfying"	"effective"	"difficult"	"good.fight"	"hard.control"	"mental.effort"	"comfort.control"	"exhausting"	"aggressed"	"enjoyed"	"often.played"	"FPS.experience"	"FPS.skill"	"mkb.experience"	"vg.freq"	"vg.cumul"	"age"	"race"	"race2"	"year"	"GPA"	"knew.others"	"knew.partner"	"gender"	"rating1"	"rating2"	"rating3"	"rating4"	"rating5"	"rating6"	"L_ring_length"	"L_ring_angle"	"L_index_length"	"L_index_angle"	"R_index_length"	"R_index_angle"	"R_ring_length"	"R_ring_angle"	"DV"	"Violence"	"Difficulty"	"L2d4d"	"R2d4d"
368	1	1	1	1	1	1	0	0	0	0	0	1	0	3	"No"	"Maybe"	1	4	3	474	11	1531	139	110	"AS"	"Yes"	5	5	1	1	2	1	5	6	3	2	2	2	2	2	5	2	5	2	2	2	2	6	2	2	4	4	5	5	7	5	6	18	5	NA	1	3	"No"	"No"	"M"	NA	NA	NA	NA	NA	NA	998.9	84.945	978.5	89.735	977.25	88.05	969	88.285	5	"Less Violent"	"Hard"	0.979577535288818	1.00851393188854
369	0	0	1	0	0	1	1	1	0	0	1	0	0	2	"Maybe"	"No"	4	1	0	428	15	0	363	0	"EW"	NA	4	5	3	4	4	4	5	6	6	6	3	2	5	2	5	5	5	3	3	2	2	5	2	4	5	5	5	6	5	6	6	18	5	NA	1	3.6	"No"	"No"	"M"	NA	NA	NA	NA	NA	NA	913.15	81.24	861.5	89.605	856.75	87.66	914.95	82.935	4	"Violent"	"Easy"	0.943437551333297	0.936389966664845
371	0	1	0	0	0	0	0	0	0	0	1	0	0	1	"No"	"Maybe"	4	3	0	513	18	1322	232	0	"EW"	"Yes"	4	4	4	1	4	1	1	6	4	5	1	1	2	2	2	4	5	1	2	2	2	6	2	1	5	5	6	4	4	6	6	18	5	NA	1	3.7	"No"	"No"	"M"	NA	NA	NA	NA	NA	NA	849.4	80.205	804.7	83.51	804.1	89.075	845.35	81.29	4	"Less Violent"	"Easy"	0.947374617376972	0.951203643461288
373	0	1	0	0	0	0	0	0	0	0	1	0	0	4	"No"	"Yes"	1	1	0	428	13	1265	135	0	"JL"	"Yes"	6	5	2	4	1	4	4	6	3	3	2	2	6	2	4	5	6	2	3	2	5	6	3	5	5	5	5	6	5	3	4	19	5	NA	1	2.9	"No"	"No"	"M"	NA	NA	NA	NA	NA	NA	924.25	81.255	886.35	87.515	884.5	85.265	909.35	79.29	6	"Violent"	"Easy"	0.958993778739519	0.972672788255347
375	0	0	0	0	1	0	0	0	0	0	1	0	0	5	"No"	"No"	1	3	0	565	13	2111	168	0	"JL"	"Yes"	2	7	1	5	1	1	6	7	2	4	4	4	1	3	5	5	5	3	1	1	2	7	4	1	2	5	7	7	7	7	7	19	5	NA	1	3.5	"No"	"No"	"M"	NA	NA	NA	NA	NA	NA	940.633333333333	79.1133333333333	NA	85.39	901.066666666667	84.8933333333333	915.933333333333	84.3033333333333	2	"Less Violent"	"Easy"	NA	0.983768833248418
376	0	1	0	0	0	1	0	0	0	0	0	1	0	2	"No"	"No"	1	4	1	183	5	718	55	54	"HG"	"Yes"	5	7	1	7	1	1	7	7	5	7	1	1	1	1	4	5	5	1	2	1	1	7	1	1	7	1	7	4	4	7	3	18	5	NA	1	3	"No"	"No"	"M"	NA	NA	NA	NA	NA	NA	969.45	86.895	908.5	89.59	895.45	88.31	983.9	82.965	5	"Less Violent"	"Hard"	0.937129300118624	0.910102652708609
377	1	1	1	0	0	0	0	1	0	0	1	1	0	5	"No"	"Yes"	4	1	0	385	13	2262	2	0	"RP"	"Yes"	9	7	7	1	1	1	4	7	7	7	1	1	7	1	1	7	7	1	1	1	1	7	1	7	7	7	7	7	7	7	7	20	5	NA	3	2.2	"No"	"No"	"M"	NA	NA	NA	NA	NA	NA	856.65	89	844.25	84.63	826.4	86.735	834.9	88.32	9	"Violent"	"Easy"	0.985525010214207	0.989819140016769
380	0	1	0	0	0	0	0	1	0	0	1	0	0	2	"No"	"No"	1	4	1	407	13	1713	133	77	"JL"	"Yes"	5	4	2	5	2	2	2	6	7	6	3	2	3	1	5	5	3	3	1	2	3	7	3	1	7	5	7	7	5	7	7	19	5	NA	1	3	"No"	"No"	"M"	NA	NA	NA	NA	NA	NA	882.6	81.56	884.8	85.885	845.25	89.025	912.2	83.58	5	"Less Violent"	"Hard"	1.00249263539542	0.926606007454505
382	0	0	0	1	0	0	0	0	0	0	1	1	0	1	"No"	"No"	4	2	3	366	5	1536	91	98	"TM"	"Maybe"	2	4	4	2	1	3	1	3	3	3	5	1	5	1	1	5	2	3	5	2	2	5	2	2	5	5	5	2	5	5	6	18	2	NA	1	2.7	"No"	"No"	"Male"	NA	NA	NA	NA	NA	NA	959.95	86.355	934.9	85.49	931.3	84.825	938.05	86.7	2	"Violent"	"Hard"	0.973904890879733	0.992804221523373
384	0	0	1	0	0	1	0	1	0	0	1	0	0	2	"No"	"No"	4	4	2	251	7	1158	75	63	"TM"	"Yes"	3	7	1	7	2	2	6	6	5	5	3	2	3	3	5	4	5	5	5	3	5	6	2	3	5	5	7	5	5	3	4	19	5	NA	1	3.99	"No"	"No"	"Male"	NA	NA	NA	NA	NA	NA	905.65	84.2	888.2	88.71	866.45	87.32	896.55	85.71	3	"Less Violent"	"Hard"	0.980732070888312	0.96642685851319
385	1	0	0	1	0	0	0	1	0	0	0	1	0	5	"No"	"No"	1	1	0	402	13	532	233	0	"AH"	"Yes"	9	7	1	6	1	1	6	7	7	5	1	1	5	1	6	6	7	1	1	2	4	5	1	5	7	3	3	2	5	7	7	19	6	NA	2	3.8	"No"	"No"	"Male"	NA	NA	NA	NA	NA	NA	866.35	83.67	811.3	79.81	839.35	87.44	873.55	85.31	9	"Violent"	"Easy"	0.936457551797772	0.96084940758972
386	1	0	0	1	1	1	1	0	0	0	1	1	0	5	"No"	"Yes"	4	2	3	215	4	833	58	73	"TM"	"Yes"	5	6	2	4	1	1	7	7	5	6	1	2	6	1	2	5	7	1	5	1	2	7	1	5	7	1	2	2	5	5	7	19	5	NA	1	3.33	"No"	"No"	"Male"	NA	NA	NA	NA	NA	NA	863.05	85.615	860.1	89.17	839	88.02	860.25	84.365	5	"Violent"	"Hard"	0.996581889809397	0.975297878523685
392	0	1	0	1	0	0	0	0	1	0	0	1	0	3	"Maybe"	"Yes"	1	4	2	330	9	1272	81	61	"VP"	"Yes"	5	4	1	1	1	1	4	7	5	5	3	1	2	1	2	6	5	2	2	1	2	6	1	2	5	4	6	5	6	2	3	18	5	NA	1	3.5	NA	NA	"Male"	NA	NA	NA	NA	NA	NA	887	87.315	848.65	88.99	867.25	85.9	882	86.17	5	"Less Violent"	"Hard"	0.956764374295378	0.98327664399093
394	0	1	0	0	0	1	0	0	0	0	0	0	0	1	"No"	"Maybe"	1	2	3	337	10	1144	122	82	"VP"	"Yes"	5	4	1	5	1	1	7	7	7	7	1	1	4	1	1	3	7	1	6	1	1	7	1	1	7	7	7	7	6	7	7	19	3	NA	1	2.8	"No"	"No"	"Male"	NA	NA	NA	NA	NA	NA	839.4	88.46	831.85	74.545	845.3	70.075	845.95	83.48	5	"Violent"	"Hard"	0.991005480104837	0.999231633075241
395	0	0	1	0	0	1	1	0	0	0	0	0	0	1	"Maybe"	"No"	1	3	0	512	17	1882	165	0	"VP"	"Yes"	6	4	4	4	3	3	3	7	5	5	1	2	4	2	3	4	5	3	4	5	3	5	3	5	5	5	7	7	6	6	7	18	5	NA	1	3.7	"No"	"No"	"Male"	NA	NA	NA	NA	NA	NA	894	89.65	837.4	83.795	841.05	89.39	928.65	89.135	6	"Less Violent"	"Easy"	0.93668903803132	0.905669520271362
397	1	1	1	0	1	1	0	1	1	0	1	1	0	4	"Maybe"	"No"	4	1	0	373	14	1750	106	0	"VP"	"Yes"	7	5	1	3	1	1	6	7	7	7	1	3	5	1	5	6	7	5	1	2	1	7	4	6	6	7	7	5	3	5	7	20	5	NA	2	3.55	"No"	"No"	"Male"	NA	NA	NA	NA	NA	NA	853.6	84.385	832.8	83.24	848.65	79.34	853.55	87.32	7	"Violent"	"Easy"	0.975632614807872	0.994259270107199
398	1	1	1	0	0	1	1	1	0	0	1	0	0	1	"Maybe"	"Yes"	1	2	2	259	6	1027	50	69	"JH"	"Yes"	9	6	1	4	1	2	7	7	4	5	5	2	4	2	5	6	6	2	4	1	2	6	2	1	5	6	7	5	5	6	7	19	1	NA	1	3.2	"No"	"No"	"Male"	NA	NA	NA	NA	NA	NA	851.25	83.155	826.85	88.615	812.05	89.575	867.5	84.245	9	"Violent"	"Hard"	0.971336270190896	0.936080691642651
399	1	1	1	0	0	1	0	0	0	0	0	0	0	3	"No"	"Yes"	4	3	0	346	12	1051	138	0	"TM"	NA	6	5	2	6	2	2	6	7	3	5	2	2	1	2	2	5	5	1	1	3	2	5	3	3	2	2	7	6	5	5	6	19	5	NA	1	3.5	"No"	"No"	"Male"	NA	NA	NA	NA	NA	NA	874.8	87.71	820.75	84.585	802.4	84.745	872.15	87.075	6	"Less Violent"	"Easy"	0.938214449016918	0.920025225018632
400	0	1	0	0	0	0	0	0	0	0	1	1	0	1	"No"	"No"	4	4	0	212	7	723	83	30	"TM"	"Yes"	3	1	1	1	4	4	4	7	3	3	3	3	1	1	3	1	5	2	2	3	5	5	3	3	4	5	7	5	6	5	5	19	5	NA	1	3.2	"No"	"No"	"Male"	NA	NA	NA	NA	NA	NA	959.5	83.6	923.3	86.955	924.45	87.425	928.85	85.525	3	"Less Violent"	"Hard"	0.962272016675352	0.995262959573666
401	1	1	0	1	1	0	0	0	0	0	0	0	1	5	"No"	"No"	4	1	0	505	16	211	379	0	"TM"	"Yes"	5	3	3	3	2	3	3	6	5	6	3	3	5	3	3	5	5	2	2	1	2	7	2	2	6	7	7	7	7	7	7	18	5	NA	1	3	"No"	"No"	"Male"	NA	NA	NA	NA	NA	NA	847	82.91	838.8	88.395	824.45	83.725	821.65	86.445	5	"Violent"	"Easy"	0.990318772136954	1.00340777703402
402	1	1	1	0	0	0	0	0	0	0	0	1	0	1	"No"	"Yes"	1	2	1	200	5	1122	27	104	"AH"	"Yes"	9	7	1	7	1	1	7	5	4	5	4	2	5	2	4	6	5	4	4	3	2	6	2	5	5	3	2	2	5	5	2	18	5	NA	1	3.8	"No"	"No"	"Male"	NA	NA	NA	NA	NA	NA	942.55	89.515	926.95	83.02	946.65	88.375	940.1	83.505	9	"Violent"	"Hard"	0.98344915389104	1.00696734389959
403	0	1	0	0	0	1	0	0	0	0	0	1	1	2	"Maybe"	"No"	4	3	0	356	12	1196	152	0	"TM"	"Yes"	4	7	1	7	1	1	7	7	5	6	6	2	4	2	3	6	6	2	3	3	5	5	4	2	6	2	5	2	3	5	6	20	6	NA	1	3.2	"No"	"No"	"Male"	NA	NA	NA	NA	NA	NA	943.6	85.075	958.1	89.105	961	86.78	944.6	86.76	4	"Less Violent"	"Easy"	1.01536668079695	1.01736184628414
404	0	0	0	0	1	0	1	0	0	0	1	0	0	3	"No"	"No"	1	4	3	323	7	1393	143	87	"RP"	"Maybe"	7	7	1	6	1	1	7	5	6	6	6	3	2	1	5	6	6	3	5	2	5	7	1	3	6	5	7	7	6	7	7	21	5	NA	4	3.75	"No"	"No"	"Male"	NA	NA	NA	NA	NA	NA	814.1	87.08	783.6	77.17	795.75	83.4	841.8	86.94	7	"Less Violent"	"Hard"	0.962535315071859	0.945295794725588
406	0	1	0	1	0	1	0	0	0	0	0	1	0	2	"No"	"Yes"	1	2	0	295	9	1012	113	47	"TM"	"Yes"	7	3	4	2	1	1	3	5	7	6	4	3	6	1	6	6	5	3	5	2	5	7	3	4	7	3	6	2	7	6	7	19	1	NA	1	3.7	"No"	"No"	"Male"	NA	NA	NA	NA	NA	NA	872.9	87.51	774.1	80.065	802.3	86.75	883.3	78.865	7	"Violent"	"Hard"	0.886814068049032	0.908298426355712
409	0	1	0	1	0	1	0	0	0	1	1	0	1	3	"No"	"No"	4	1	0	537	19	1089	252	0	"TM"	"Maybe"	5	2	2	2	1	2	2	6	6	6	3	2	6	2	4	6	4	1	1	1	5	7	3	5	7	4	5	5	6	7	7	19	1	NA	1	3	"No"	"No"	"Male"	NA	NA	NA	NA	NA	NA	783.15	83.14	765.65	89.14	743.6	88.995	759.3	83.23	5	"Violent"	"Easy"	0.97765434463385	0.979323060713815
411	0	0	1	0	0	1	0	0	1	0	1	0	0	NA	NA	NA	4	3	0	419	14	1534	169	0	"TM"	"Yes"	6	4	5	4	5	4	4	7	6	5	1	4	3	1	1	4	4	1	4	1	1	6	2	5	4	4	7	7	7	7	4	20	6	NA	1	3.4	"Yes"	"No"	"Male"	NA	NA	NA	NA	NA	NA	943.65	84.075	894.85	87.9	898.75	87.735	926.4	80.055	6	"Less Violent"	"Easy"	0.948285911089917	0.970153281519862
413	0	0	1	0	0	0	0	0	0	0	1	0	0	2	"Yes"	"No"	4	1	0	440	15	731	277	0	"TM"	"Yes"	5	6	1	1	1	1	5	7	6	6	1	2	7	1	2	6	7	1	1	2	5	6	3	5	5	4	7	7	4	4	6	19	5	NA	2	2.8	"No"	"No"	"Male"	NA	NA	NA	NA	NA	NA	940.8	82.15	925.6	89.195	952.65	86.605	968.8	85.65	5	"Violent"	"Easy"	0.983843537414966	0.983329892650702
414	0	1	0	0	0	1	0	0	0	0	0	0	0	2	"Maybe"	"Yes"	4	2	7	325	3	1367	85	126	"TM"	"Yes"	5	5	2	3	1	1	6	5	6	7	3	5	7	2	5	6	7	3	3	4	3	6	1	5	7	5	7	5	3	4	5	19	5	NA	1	1	"No"	"No"	"Male"	NA	NA	NA	NA	NA	NA	865.75	86.89	843.7	85.855	834.65	86.975	872	86.19	5	"Violent"	"Hard"	0.974530753681779	0.957167431192661
415	1	0	1	1	0	1	0	0	0	0	1	1	0	4	"No"	"Maybe"	4	3	0	475	16	1651	166	0	"TM"	"Yes"	5	5	4	3	1	4	3	7	6	6	3	2	4	2	4	4	5	3	1	5	4	6	2	6	6	5	7	6	4	3	7	18	5	NA	1	2.7	"No"	"No"	"Male"	NA	NA	NA	NA	NA	NA	844.85	82.45	810.3	88.38	800.65	85.775	855.4	87.835	5	"Less Violent"	"Easy"	0.959105166597621	0.935994856207622
416	0	1	0	0	0	1	1	1	0	0	0	0	0	2	"No"	"Maybe"	1	4	2	348	9	1074	129	160	"AH"	"Yes"	9	7	1	7	1	1	7	7	7	7	4	3	2	2	2	5	5	5	5	3	3	6	3	5	6	3	5	5	5	2	5	18	5	NA	1	3.95	"No"	"No"	"Male"	NA	NA	NA	NA	NA	NA	842	89.725	831.15	84.305	842.5	89.66	833.75	82.45	9	"Less Violent"	"Hard"	0.987114014251781	1.01049475262369
419	0	1	0	0	0	0	0	0	0	0	1	0	0	3	"No"	"No"	4	3	0	267	22	360	201	0	"RP"	"Yes"	7	4	4	4	1	4	4	7	1	1	1	1	1	1	1	4	5	1	1	1	1	7	1	1	1	1	5	5	7	6	7	23	5	NA	3	3	"No"	"No"	"Male"	NA	NA	NA	NA	NA	NA	980.8	87.725	910.5	83.16	911.9	88.4	992.55	86.775	7	"Less Violent"	"Easy"	0.928323817292007	0.918744647624805
420	0	1	1	0	0	0	0	0	0	0	0	1	0	2	"No"	"No"	1	4	0	479	15	1438	193	53	"RP"	"Yes"	5	5	3	3	1	1	5	6	4	6	2	3	4	3	4	6	6	5	4	3	3	6	3	3	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"No"	"Male"	NA	NA	NA	NA	NA	NA	970.65	84.09	930.8	85.56	904.75	84.195	960.05	89.465	5	"Less Violent"	"Hard"	0.95894503683099	0.942398833394094
421	1	0	1	0	0	1	0	0	0	1	1	0	0	2	"Maybe"	"No"	4	1	0	463	15	904	233	0	"TM"	"Yes"	9	7	1	7	1	1	7	7	6	6	1	1	5	1	5	5	6	1	1	1	1	7	1	3	6	7	7	7	7	7	7	18	5	NA	1	3.6	"No"	"No"	"Male"	NA	NA	NA	NA	NA	NA	892.1	81.2	839.5	89.52	843.65	87.83	879.7	77.855	9	"Violent"	"Easy"	0.94103800022419	0.959020120495623
422	1	0	0	0	1	1	0	0	0	0	1	1	0	4	"Maybe"	"Maybe"	1	2	0	343	11	948	150	116	"AH"	"Maybe"	7	6	2	6	2	2	6	7	5	5	3	3	5	1	3	5	6	2	3	5	5	6	3	5	5	5	6	5	5	5	5	19	5	NA	1	3.6	"No"	"No"	"Male"	NA	NA	NA	NA	NA	NA	838.45	86.65	836.35	87.465	832.3	88.555	846.8	83.93	7	"Violent"	"Hard"	0.997495378376767	0.982876712328767
423	0	1	1	0	0	1	0	1	0	1	1	0	0	4	"No"	"Yes"	4	3	0	343	11	247	232	0	"TM"	"Yes"	9	6	1	6	1	1	7	7	4	5	2	1	3	2	2	5	5	3	2	1	2	6	3	4	5	2	6	6	3	3	6	19	5	NA	2	2.9	"No"	"No"	"Male"	NA	NA	NA	NA	NA	NA	924.8	82.575	917.2	86.06	884.95	85.335	912.65	81.65	9	"Less Violent"	"Easy"	0.991782006920415	0.96964882485071
424	0	1	0	0	1	1	0	1	0	0	0	1	0	4	"No"	"No"	1	4	0	340	11	1447	101	53	"AH"	"Yes"	9	2	2	2	1	1	3	6	5	6	2	2	2	2	4	5	6	2	2	2	2	6	2	2	6	5	7	7	5	6	7	19	5	NA	1	3.3	"No"	"No"	"Male"	NA	NA	NA	NA	NA	NA	933.1	81.44	899.3	87.58	872.1	87.935	913.15	84.94	9	"Less Violent"	"Hard"	0.963776658450327	0.955045720856376
425	0	1	0	0	0	0	0	0	0	0	1	0	0	2	"No"	"No"	4	1	0	446	22	2146	87	0	"RP"	"Maybe"	4	4	2	4	1	1	2	6	4	5	2	2	3	2	1	3	6	2	1	1	3	6	2	2	4	6	7	6	7	5	6	19	5	NA	2	2.85	"No"	"No"	"Male"	NA	NA	NA	NA	NA	NA	902.75	84.79	880.8	83.305	861.9	85.34	940.65	83.495	4	"Violent"	"Easy"	0.975685405704791	0.916281294849306
426	0	0	1	0	0	0	0	0	0	0	0	1	0	4	"No"	"No"	1	2	1	202	4	797	85	56	"VP"	"Yes"	5	4	4	4	1	1	1	6	6	6	3	1	1	1	1	4	4	2	2	2	2	5	1	1	7	5	6	7	4	4	7	19	5	NA	1	2	"No"	"No"	"Male"	NA	NA	NA	NA	NA	NA	947.45	83.88	956.1	85.58	943.3	88.785	967.25	82.995	5	"Violent"	"Hard"	1.00912976938097	0.975239079865598
427	0	0	0	1	0	1	0	0	0	0	0	0	0	2	"No"	"Yes"	4	3	0	603	20	49	515	0	"RP"	"Yes"	1	1	7	7	7	7	1	7	5	6	1	1	1	1	1	3	4	1	1	1	1	4	1	1	7	3	6	6	7	7	7	21	5	NA	4	3.4	"No"	"No"	"Male"	NA	NA	NA	NA	NA	NA	867.3	85.905	876.75	87.645	841.9	87.48	879.05	80.505	1	"Less Violent"	"Easy"	1.01089588377724	0.957738467663955
428	0	1	0	0	0	0	0	0	0	0	0	0	0	2	"Yes"	"No"	1	4	14	232	3	214	138	181	"VP"	"Yes"	5	5	3	5	4	2	4	3	5	6	6	4	4	5	7	7	6	7	6	7	6	7	4	3	7	1	1	1	1	1	1	21	5	NA	3	3.61	"No"	"No"	"Male"	NA	NA	NA	NA	NA	NA	996.25	88.795	920.45	85.105	936.75	87.03	971.45	87.525	5	"Less Violent"	"Hard"	0.923914680050188	0.964280199701477
430	0	1	0	0	0	1	1	0	0	0	0	0	0	4	"No"	"No"	4	2	0	311	10	1118	70	47	"TM"	"Maybe"	4	5	2	4	1	1	2	7	7	7	2	3	7	2	5	7	7	1	2	1	5	7	1	2	7	5	7	7	5	6	7	19	5	NA	1	3.712	"No"	"No"	"Male"	NA	NA	NA	NA	NA	NA	931.75	85.015	848.1	89.19	845.15	89.05	941.35	82.37	4	"Violent"	"Hard"	0.910222699221894	0.897806341955702
431	1	1	1	0	1	0	0	0	0	0	1	0	0	2	"No"	"Maybe"	4	3	0	471	16	515	322	0	"TM"	"Yes"	4	4	4	1	1	4	5	7	4	5	1	1	1	1	1	4	5	2	2	1	1	7	1	2	5	5	7	7	6	6	6	18	5	NA	1	3.8	"No"	"No"	"Male"	NA	NA	NA	NA	NA	NA	973.95	79.935	947.8	87.64	938.25	88.78	969.2	84.67	4	"Less Violent"	"Easy"	0.973150572411315	0.968066446553859
433	0	0	1	0	0	0	0	0	0	0	0	1	0	2	"No"	"No"	1	1	0	436	14	2614	6	0	"AH"	"Yes"	7	7	1	5	1	1	7	7	7	7	1	1	7	1	4	7	7	1	1	1	3	7	1	7	7	7	7	7	7	7	7	19	5	NA	1	2.9	"No"	"No"	"Male"	NA	NA	NA	NA	NA	NA	912.65	82.64	871.95	88.225	852.2	83.85	898.7	87.74	7	"Violent"	"Easy"	0.955404591026133	0.948258595749416
434	0	1	0	1	0	1	0	0	0	0	0	1	0	1	"No"	"No"	4	2	4	383	6	1464	92	126	"TM"	"Yes"	9	6	2	3	1	1	4	7	5	5	6	3	6	1	5	5	4	3	5	2	3	6	1	3	6	6	6	6	5	6	7	21	5	NA	3	2.7	"No"	"No"	"Male"	NA	NA	NA	NA	NA	NA	1023.1	86.42	957.3	86.045	948.55	86.87	1032.35	85.445	9	"Violent"	"Hard"	0.935685661225687	0.918825979561195
436	0	0	0	0	1	1	0	0	0	0	1	1	1	3	"Maybe"	"No"	4	4	6	288	3	1181	72	116	"VP"	"Maybe"	3	4	3	2	1	4	4	3	6	6	7	5	2	4	1	5	6	6	7	3	6	4	2	1	6	5	6	2	2	1	5	19	5	NA	1	3	"No"	"No"	"Male"	NA	NA	NA	NA	NA	NA	867.45	79.905	821.05	89.58	805.65	86.42	878.8	81.66	3	"Less Violent"	"Hard"	0.946509885295982	0.916761492944925
439	0	0	0	0	1	1	0	0	0	1	1	1	0	2	"No"	"No"	4	3	0	425	14	681	310	0	"TM"	"Maybe"	6	6	2	1	1	1	6	7	5	5	1	1	1	1	2	4	5	2	3	3	1	7	1	4	5	1	5	3	4	5	5	18	5	NA	1	3.5	"No"	"No"	"Male"	NA	NA	NA	NA	NA	NA	941.25	84.57	914.95	87.43	925.1	87.15	928.05	85.365	6	"Less Violent"	"Easy"	0.972058432934927	0.996821291956252
440	1	1	0	0	1	1	0	1	0	1	1	1	0	5	"No"	"No"	1	4	0	385	13	1958	77	78	"AH"	"Maybe"	4	5	2	4	1	1	3	6	5	5	4	1	4	3	5	5	7	3	2	2	4	7	2	4	6	4	6	6	6	3	4	21	5	NA	3	3	"No"	"No"	"Male"	NA	NA	NA	NA	NA	NA	910.9	84.215	855.15	87.115	870.75	87.63	939.15	83.46	4	"Less Violent"	"Hard"	0.938796794379185	0.927168183996167
442	0	1	1	0	0	1	0	0	0	0	1	0	0	1	"No"	"Yes"	4	2	1	373	12	1419	124	56	"TM"	"Yes"	9	7	6	2	1	4	5	7	7	7	3	2	7	2	7	7	7	4	7	1	5	7	1	2	7	6	7	7	7	2	7	21	5	NA	3	3	NA	NA	"Male"	NA	NA	NA	NA	NA	NA	955.3	81.57	908.1	89.43	879.5	84.915	964.8	86.495	9	"Violent"	"Hard"	0.950591437244845	0.911587893864013
443	0	1	0	0	0	1	0	0	1	0	0	1	0	1	"Yes"	"Yes"	4	3	0	392	17	991	183	0	"TM"	"Yes"	2	5	1	7	1	1	6	6	3	4	3	4	2	2	5	3	5	4	6	4	5	6	6	5	5	3	7	6	4	5	7	19	2	NA	1	3.1	NA	NA	"Male"	NA	NA	NA	NA	NA	NA	866.3	78.215	857.65	87.06	842.75	85.1	858.3	78	2	"Less Violent"	"Easy"	0.99001500634884	0.981882791564721
445	0	0	1	0	0	0	1	0	0	0	0	0	0	2	"No"	"Yes"	4	1	0	439	15	0	368	0	"TM"	"Yes"	7	6	2	5	1	1	5	5	4	5	2	2	6	2	3	5	6	2	1	4	4	6	3	5	4	5	6	5	4	3	4	20	5	NA	2	2.8	NA	NA	"Male"	NA	NA	NA	NA	NA	NA	835.7	82.375	805	89.79	812.35	88.58	816.1	79.41	7	"Violent"	"Easy"	0.963264329304774	0.995404974880529
