"Subno"	"L2d4d"	"R2d4d"	"L_ring_length"	"L_ring_angle"	"L_index_length"	"L_index_angle"	"R_index_length"	"R_index_angle"	"R_ring_length"	"R_ring_angle"	"nCoders"	"julNotes"	"racNotes"	"tayNotes"
78	0.920815933183424	0.941310603181497	933.9	82.305	859.95	88.335	866.9	85.005	920.95	87.64	2	NA	NA	NA
79	0.961209291986218	0.98192026951151	899.7	88.885	864.8	85.39	874.4	86.265	890.5	87.33	2	NA	NA	NA
80	0.922774942515843	0.872080331805283	891.55	86.625	822.7	79.705	799	89.75	916.2	80.455	2	NA	NA	NA
81	0.921101284165292	0.915673510265398	1000.65	89.11	921.7	86.52	914.3	75.33	998.5	86.385	2	NA	NA	NA
82	0.985262401150252	0.936654643823264	834.6	89.185	822.3	79.485	831	82.29	887.2	86.645	2	NA	NA	NA
83	1.00585265090659	0.981705948372615	871.4	84.93	876.5	83.61	874.7	86.495	891	82.395	2	NA	NA	NA
84	0.940114388247168	0.924986149584487	891.7	87.75	838.3	85.76	834.8	81.67	902.5	88.03	2	NA	NA	NA
85	0.960107307864275	0.952400683689853	1006.45	88.35	966.3	86.085	919.4	88.38	965.35	84.905	2	NA	NA	NA
86	0.942699814633083	0.941660836338195	917.1	85.37	864.55	89.47	874.85	83.665	929.05	89.415	2	NA	NA	NA
87	0.936772046589018	0.937031741492708	871.45	88.125	816.35	85.68	819.2	86.855	874.25	88.69	2	NA	NA	NA
88	0.982275748451968	0.969756435414983	880.15	86.515	864.55	87.445	840.1	85.08	866.3	86.34	2	NA	NA	NA
89	1.02219263204616	0.969350763484566	901.2	88.73	921.2	83.64	882.4	88.31	910.3	85.59	2	NA	NA	NA
90	0.98233918128655	1.04057953589035	855	89.56	839.9	85.695	865.45	81.095	831.7	88.79	2	NA	NA	NA
91	1.03363789792237	1.0319337146901	859.15	87.84	888.05	85.675	874.925	88.95	847.85	87.825	2	NA	NA	NA
92	0.995020034344591	0.950025584171926	873.5	89.54	869.15	84.755	835.5	84.405	879.45	86.22	2	NA	NA	NA
93	0.969256736391585	0.976434240019386	829.45	85.61	803.95	76.29	805.9	86.65	825.35	87.465	2	NA	NA	NA
94	0.925947808961103	0.909090909090909	1015.5	81.19	940.3	86.49	899	83.935	988.9	78.63	2	NA	NA	NA
95	0.942399735930022	0.943410599629992	908.85	85.9	856.5	89.665	866.9	88.345	918.9	82.715	2	NA	NA	NA
96	0.929785747554728	0.934775046382189	858.8	77.835	798.5	82.41	806.15	87.69	862.4	79.345	2	NA	NA	NA
97	0.977644272427936	0.968004587155963	865.55	85.64	846.2	86.955	844.1	89.12	872	83.915	2	NA	NA	NA
98	0.998552177302595	0.974221789883268	897.9	87.485	896.6	84.56	901.35	88.41	925.2	80.89	2	NA	NA	NA
99	0.984567552289429	0.992897488954757	884.5	88.12	870.85	83.975	887.7	87.775	894.05	85.285	2	NA	NA	NA
100	0.929982440737489	0.939690664292867	911.2	87.76	847.4	77.875	844.5	74.055	898.7	82.74	2	NA	NA	NA
101	0.983962416977158	0.94665514821014	925.95	88.335	911.1	79.05	876.65	83.41	926.05	88.085	2	NA	NA	NA
102	0.907227260236329	0.897918178266451	909.75	81.85	825.35	88.44	804.4	88.22	895.85	79.425	2	NA	NA	NA
103	0.902664260694194	0.926340002139724	942.1	88.09	850.4	88.315	865.85	88.31	934.7	87.885	2	NA	NA	NA
104	0.878677090949997	0.863377300113988	888.95	88.195	781.1	82.015	795.3	83.685	921.15	87.915	2	NA	NA	NA
105	0.951911748955767	0.952540903673204	933.7	88.745	888.8	86.45	879.1	85.6	922.9	88.415	2	NA	NA	NA
106	0.944118734484762	0.930984380675627	946.65	86.605	893.75	85.12	897.05	85.72	963.55	88.245	2	NA	NA	NA
107	0.922414272216973	0.942652531859705	899.65	84.16	829.85	79.695	835.85	74.775	886.7	78.065	2	NA	NA	NA
108	0.91807321350285	0.939010616670431	912.4	84.715	837.65	76.36	831.4	75.8	885.4	87.485	2	NA	NA	NA
109	0.972869526061016	0.969505664844146	888.3	85.515	864.2	88.94	860	89.535	887.05	89.35	2	NA	NA	NA
110	0.910707269155206	0.906256196708308	1018	86.935	927.1	83.715	914.05	89.59	1008.6	87.385	2	NA	NA	NA
111	0.973346660003332	0.974665846429171	900.45	84.01	876.45	87.515	871.4	87.435	894.05	84.93	2	NA	NA	NA
112	0.979726361269595	1.00179957260151	902.65	80.435	884.35	69.995	890.7	80.895	889.1	84.84	2	NA	NA	NA
113	0.965952741240834	0.995331857083009	859.1	85.595	829.85	87.445	831.55	89.515	835.45	81.31	2	NA	NA	NA
114	0.944211253387174	0.959888108935452	941.05	88.055	888.55	82.82	909.35	83.78	947.35	87.55	2	NA	NA	NA
115	0.921073825503356	0.927832807227604	931.25	88.71	857.75	83.94	852.4	88.215	918.7	83.875	2	NA	NA	NA
116	0.957800224466891	0.954715527676901	891	75.625	853.4	86.205	867.55	89.24	908.7	79.725	2	NA	NA	NA
117	0.935886931585416	0.937984095838067	976.4	82.94	913.8	88.53	908.25	88.83	968.3	84.075	2	NA	NA	NA
118	1.0177692400048	1.01722017220172	832.9	81.025	847.7	88.75	868.35	86.795	853.65	80.115	2	NA	NA	NA
119	0.964019851116625	0.93595406360424	886.6	84.855	854.7	87.75	847.6	85.13	905.6	86.275	2	NA	NA	NA
120	0.960957662950964	0.938172341133415	910.55	83.98	875	87.285	845.95	83.825	901.7	86.535	2	NA	NA	NA
121	0.959837085643172	0.939233891143604	883.9	81.64	848.4	87.435	844.7	87.66	899.35	83.59	2	NA	NA	NA
122	0.917441620169457	0.902311819868612	967.8	82.29	887.9	86.255	899.65	83.3	997.05	84.945	2	NA	NA	NA
123	1.02631578947368	0.99759293928858	932.9	85.915	957.45	85.175	932.5	82.515	934.75	87.17	2	NA	NA	NA
124	0.957056807560494	0.959124928036845	962.9	85.565	921.55	86.74	916.3	86.935	955.35	87.665	2	NA	NA	NA
125	1.00667834983186	1.00404799768686	1055.65	82.46	1062.7	89.085	1041.75	87.885	1037.55	80.135	2	NA	NA	NA
126	0.941801819620253	0.927852104110922	1011.2	88.84	952.35	88.525	953.6	84.675	1027.75	88.86	2	NA	NA	NA
127	0.934371892608552	0.907617504051864	905.1	87.945	845.7	76.705	840	76.855	925.5	89.535	2	NA	NA	NA
128	1.02792553191489	1.02546256017632	902.4	88.45	927.6	81.975	884	86.75	862.05	84.445	2	NA	NA	NA
129	0.968032295019366	0.957686731461096	916.55	89.345	887.25	82.72	891.75	88.715	931.15	84.3	2	NA	NA	NA
130	0.902750703920295	0.905353319057816	923.4	81.41	833.6	89.11	845.6	89.015	934	81.63	2	NA	NA	NA
131	0.95325460038451	0.939723482157495	910.25	84.5	867.7	86.185	859.8	87.82	914.95	85.205	2	NA	NA	NA
132	1.00125291873113	0.987602141448295	877.95	85.34	879.05	86.6	876.25	86.51	887.25	87.365	2	NA	NA	NA
133	0.972943498130453	0.916758544652701	962.8	79.955	936.75	85.255	914.65	89.06	997.7	80.47	2	NA	NA	NA
134	0.913285241959723	0.923350355462101	998.1	84.195	911.55	86.905	922.15	88.975	998.7	81.795	2	NA	"thumbs blocking fingers a little bit"	NA
135	0.945443184003077	0.943025258323766	1040.2	88.845	983.45	83.295	985.65	88.89	1045.2	81.995	2	NA	NA	NA
136	0.95361185669273	0.952850432059386	856.9	84.575	817.15	85.825	821.5	89.79	862.15	84.95	2	NA	NA	NA
137	0.959685021904287	0.957740035454909	901.65	86.125	865.3	83.205	837.4	84.505	874.35	84.67	2	NA	NA	NA
138	0.93928412132025	0.904635901778154	896.8	88.705	842.35	82.185	854.7	83.08	944.8	87.66	2	NA	NA	NA
139	0.958758700696056	0.961821021576908	862	88.095	826.45	85.175	831.35	81.875	864.35	88.52	2	NA	NA	NA
140	0.968419759154584	0.968658536585366	813.8	81.62	788.1	71.43	794.3	73.73	820	86.535	2	NA	NA	NA
141	0.947417349369589	1.0136690647482	860.55	89.435	815.3	80.255	845.4	75.795	834	88.04	2	NA	"right hand peeling, hard to tell what was what"	NA
142	0.966088375748051	0.954673390406943	827.15	88.89	799.1	83.855	814.05	83.995	852.7	85.23	2	NA	NA	NA
143	0.933439575033201	0.93801119242359	941.25	87.105	878.6	84.485	871.6	81.72	929.2	88.89	2	NA	NA	NA
144	0.959173185633529	0.963242115027829	875.65	89.185	839.9	84.465	830.7	78.16	862.4	80.895	2	NA	NA	NA
145	1.02296317773268	0.965017209276082	862.25	82.625	882.05	89.415	855.15	87.85	886.15	80.16	2	NA	NA	NA
146	0.964764542936288	0.956512261580381	902.5	82.035	870.7	88.94	877.6	89.185	917.5	88.125	2	NA	NA	NA
147	0.940024197730022	0.950844062947067	867.85	87.59	815.8	80.44	830.8	82.145	873.75	87.675	2	NA	NA	NA
148	0.988490028490028	1.01575702215118	877.5	87.98	867.4	76.94	889.6	78.92	875.8	87.51	2	NA	NA	NA
149	0.950791950848317	0.979326537624556	887.05	78.535	843.4	80.995	855.05	89.43	873.1	81.52	2	NA	NA	NA
150	0.970236753100338	0.993179035737189	887	89.615	860.6	89.235	851.8	84.61	857.65	87.06	2	NA	NA	NA
151	0.973368146214099	0.982873121286263	861.75	85.46	838.8	82.24	843.6	81.14	858.3	85.8	2	NA	NA	NA
152	0.938918890578304	0.907361673059745	953.65	81.435	895.4	88.43	863.4	81.385	951.55	89.52	2	NA	NA	NA
153	0.920508166969147	0.959858194709572	964.25	85.655	887.6	89.13	879.95	82.525	916.75	87.765	2	NA	NA	NA
154	0.971921879422587	0.962946149917721	883.25	85.455	858.45	81.73	848.5	86.62	881.15	89.025	2	NA	NA	NA
155	0.964975910788718	0.957046907160654	923.65	87.49	891.3	80.28	883.45	82.095	923.1	87.95	2	NA	NA	NA
156	0.98371138996139	0.998466822028701	828.8	85.37	815.3	88.74	814.05	89.335	815.3	88.42	2	NA	NA	NA
157	0.949214155885812	0.963372844222235	935.3	87.675	887.8	78.665	857.45	83.845	890.05	89.385	2	NA	NA	NA
158	1.04001123911211	1.15596907022066	889.75	88.69	925.35	88.58	919.4	88.285	795.35	79.61	2	"Multiple folds on left ring finger"	"Fingers are bent, weirdest hands I've ever seen"	NA
159	0.99905334669785	0.978248776145972	897.9	88.375	897.05	89.3	879.25	83.73	898.8	87.64	2	NA	NA	NA
160	0.937436522445663	0.941104419720323	984.6	80.47	923	88.32	922	89.78	979.7	82.17	2	NA	NA	NA
161	0.949845549003089	0.988037447988904	890.25	84.46	845.6	84.74	854.85	76.295	865.2	85.11	2	NA	NA	NA
162	0.907217856435317	0.927301461872778	757.15	89.125	686.9	81.085	704.1	88.98	759.3	83.57	2	NA	NA	NA
163	1.01508515815085	1.07275803722504	822	85.535	834.4	85.295	855.9	88.67	797.85	83.705	2	NA	NA	NA
164	0.91685899549401	0.91900660029086	909.9	77.69	834.25	88.49	821.5	89.545	893.9	80.685	2	NA	NA	NA
165	0.913880503502876	0.943012912482066	877.85	85	802.25	84.89	821.6	84.695	871.25	83.615	2	NA	NA	NA
166	0.974887082204155	0.971253190713504	830.25	84.575	809.4	85.145	799.05	83.895	822.7	83.615	2	NA	"thumbs blocking fingers a little bit"	NA
167	0.972231208886013	0.965317609220048	927.3	82.63	901.55	89.24	900.4	87.45	932.75	81.505	2	NA	NA	NA
168	0.991990613202735	0.981977794990963	980.1	83.38	972.25	88.67	950.8	88.495	968.25	84.15	2	NA	NA	NA
169	1.00058366894298	1.00023564064801	856.65	87.76	857.15	89.03	848.95	88.345	848.75	86.39	2	NA	NA	NA
170	1.0099884980931	0.9655572980194	825.95	86.56	834.2	78.52	831.2	84.615	860.85	77.825	2	NA	NA	NA
171	0.975481898105171	0.948278711098871	915.65	87.965	893.2	79.975	860.8	81.58	907.75	88.645	2	NA	NA	NA
172	0.934605500574116	0.933428618547633	914.45	84.04	854.65	89.095	849	88.045	909.55	82.865	2	NA	NA	NA
173	0.977042940406804	0.977283399859122	840.7	87.68	821.4	79.08	832.45	81.385	851.8	86.265	2	NA	NA	NA
174	0.97068802491796	0.94747957539043	898.95	83.46	872.6	87.9	852.4	88.495	899.65	82.785	2	NA	NA	NA
175	0.956207482993197	0.94323168056165	940.8	86.985	899.6	85.6	859.85	86.765	911.6	89.15	2	NA	NA	NA
176	1.00365415986949	0.954761904761905	766.25	86.145	769.05	82.335	741.85	80.925	777	84.605	2	NA	NA	NA
177	0.96725901992461	0.96800360522758	928.5	86.23	898.1	77.715	859.2	78.86	887.6	89.165	2	NA	NA	NA
178	0.926809745359948	0.946949333062839	999.45	85.635	926.3	82.085	933.55	83.2	985.85	87.615	2	NA	NA	NA
179	0.928461757179414	0.908940491812632	879.25	82.155	816.35	83.42	796.55	89.35	876.35	81.4	2	NA	NA	NA
180	1.0084441054696	1.03581065887115	917.8	81.48	925.55	89.32	921.25	82.5	889.4	78.655	2	NA	NA	NA
181	0.996596008045799	0.991615574071163	969.45	82.055	966.15	89.11	946.15	86.12	954.15	85.375	2	NA	NA	NA
182	0.960306566003203	0.945705935251798	874.2	80.035	839.5	89.725	841.3	84.54	889.6	85.62	2	NA	NA	NA
183	0.990074718411955	0.977405927405927	896.7	88.94	887.8	83.73	880.545	78.735	900.9	85.03	2	NA	NA	NA
184	0.961110815555674	0.946613756613757	939.85	81.93	903.3	81.98	894.55	78.49	945	86.785	2	NA	NA	NA
185	0.942179806081527	0.944188899110702	984.95	84.585	928	82.02	923.7	77.56	978.3	85.28	2	NA	NA	NA
186	0.958263502189544	0.964647819322998	924.85	87.55	886.25	85.04	899.1	79.49	932.05	89.445	2	NA	NA	NA
187	1.04230748180176	1.03260628875111	913.55	79.505	952.2	84.44	932.65	88.985	903.2	83.55	2	NA	NA	NA
188	0.974943968737429	0.945462851921649	870.05	82.98	848.25	71.325	827.8	78.78	875.55	89.605	2	NA	NA	NA
189	0.991297053580791	1.0307150595883	953.7	89.01	945.4	85.94	951.35	88.525	923	84.685	2	NA	NA	"right hand was kinda weird, right ring was set higher in hand"
190	1.03214349138696	1.02089228731411	844.65	80.7	871.8	83.145	847.8	84.245	830.45	82.56	2	NA	NA	NA
191	0.909329758713137	0.952308644058264	932.5	89.84	847.95	85.64	846.65	81.58	889.05	87.23	2	NA	NA	NA
192	1.00733843117908	1.0024685262898	810.8	84.09	816.75	86.84	812.2	88.9	810.2	85.365	2	NA	NA	NA
193	0.955735626481451	0.963681971861708	907.05	85.355	866.9	88.48	883.6	85.23	916.9	79.16	2	NA	NA	NA
194	1.0057917294104	1.02505343148896	863.3	81.14	868.3	85.835	863.3	86.355	842.2	83.08	2	NA	NA	NA
195	0.905699539997756	0.920807190096659	891.3	85.105	807.25	87.555	814.5	89.65	884.55	83.02	2	NA	NA	NA
196	0.911868508621559	0.935585152175014	991.7	85.4	904.3	88.48	923.75	87.705	987.35	82.785	2	NA	NA	"right hand index unclear"
197	0.992952584991825	1.01471009100796	886.85	82.875	880.6	89.185	886.4	87.48	873.55	78.995	2	NA	NA	NA
198	0.946584983038833	0.931149868180896	987.55	86.75	934.8	88.62	918.3	87.63	986.2	85.405	2	NA	NA	NA
199	0.960930864616953	0.962494247583985	883.05	89.445	848.55	84.08	836.6	89.18	869.2	88.815	2	NA	NA	NA
200	0.987903667214012	0.964350353754182	913.5	89.75	902.45	86.29	879.15	89.055	911.65	83.07	2	NA	NA	NA
201	0.983905767100122	0.979767943560142	857.45	88.165	843.65	82.785	840.2	89.52	857.55	87.96	2	NA	NA	NA
202	0.964406588447653	0.977383691565183	886.4	84.305	854.85	88.39	870.8	88.52	890.95	83.685	2	NA	NA	NA
203	0.949035568925854	0.942555337962139	847.65	89.055	804.45	77.545	794.15	81.785	842.55	89.42	2	NA	NA	NA
204	0.902712435383632	0.934527593181162	860.85	84.965	777.1	82.53	808.6	87.805	865.25	86.985	2	NA	NA	NA
205	0.861647740125775	0.898335982051042	1105.15	88.11	952.25	75.4	960.95	78.75	1069.7	84.95	2	NA	NA	"2 pictures b/c huge hands"
206	0.983022859796687	0.991429001052579	968.95	88.36	952.5	88.225	989	89.48	997.55	85.165	2	NA	NA	NA
207	0.97737120847376	0.95818759936407	934.65	84.925	913.5	89.845	904.05	89.615	943.5	86.78	2	NA	NA	NA
208	0.895897662108514	0.914328909793381	906.8	87.63	812.4	88.2	816.45	85.535	892.95	87.365	2	NA	NA	NA
209	0.948312916398023	0.908068747657547	930.6	89.975	882.5	89.58	848	89.63	933.85	83.575	2	NA	NA	NA
210	0.973239902891194	0.988847583643123	906.2	83.285	881.95	88.18	864.5	86.165	874.25	76.605	2	NA	NA	NA
211	0.977244564605159	1.00303473080814	887.7	87.03	867.5	83.28	892.4	82.365	889.7	88.74	2	NA	NA	NA
212	0.976946883092276	0.981924675651845	791.65	88.945	773.4	88.11	779.55	89.23	793.9	84.68	2	NA	NA	NA
213	0.951183929974189	0.955625456383755	891.1	89.135	847.6	86.52	850.65	78.645	890.15	88.87	2	NA	NA	NA
214	0.952589617187025	0.98781666988977	821.55	87.905	782.6	85.815	766.2	83.33	775.65	83.075	2	NA	NA	NA
215	0.959079283887468	0.950601954327053	938.4	88.47	900	84.96	880.4	88.34	926.15	85.29	2	NA	NA	NA
216	1.03178068898593	1.01052889324192	824.4	78.44	850.6	81.41	825.4	78.925	816.8	86.81	2	NA	NA	NA
217	0.916698405789216	0.92830147340746	918.95	88.31	842.4	81.225	847.4	88.35	912.85	83.805	2	NA	NA	NA
218	0.952983405907967	0.950600184672207	849.7	88.82	809.75	86.215	823.6	89.235	866.4	83.605	2	NA	NA	NA
219	0.919685203523219	0.955461866926112	959.35	85.245	882.3	86.64	883.85	87.505	925.05	85.35	2	NA	NA	NA
220	0.960140463282405	0.980732533087104	811.6	89.115	779.25	86.795	796.6	87.95	812.25	88.66	2	NA	NA	NA
221	0.936903201647631	0.92217752074428	801.15	85.92	750.6	86.26	733.5	89.45	795.4	83.325	2	NA	NA	NA
222	0.945283118809259	0.950982989772667	943.95	81.655	892.3	76.9	897.3	86.9	943.55	87.27	2	NA	NA	NA
223	0.899394402313274	0.917990577407691	916.45	88.185	824.25	88.505	837.85	77.665	912.7	84.26	2	NA	NA	NA
224	0.950703432751829	0.968172190737878	888.5	89.935	844.7	67.69	845.65	76.14	873.45	88.195	2	NA	NA	NA
225	0.951536179976496	0.957820440429136	893.45	85.345	850.15	89.055	848.15	87.09	885.5	82.535	2	NA	NA	NA
226	0.968409281520828	0.972722708763318	894.25	83.79	866	80.89	871.9	81.595	896.35	84.03	2	NA	NA	NA
227	0.949477860101511	0.93923186344239	857.05	88.095	813.75	88.73	825.35	82.865	878.75	85.89	2	NA	NA	"crooked finger, little unclear"
228	0.941508606512444	0.937726755834732	912.1	87.96	858.75	77.685	865.85	81.84	923.35	85.495	2	NA	NA	NA
229	1.01328750256515	1.02865597258994	974.6	79.12	987.55	79.82	990.75	79.62	963.15	79.83	2	NA	NA	NA
230	0.921697709269964	0.93357872761235	934.2	87.12	861.05	81.48	849.65	83.68	910.1	82.865	2	NA	NA	NA
