"Subno"	"L2d4d"	"R2d4d"	"L_ring_length"	"L_ring_angle"	"L_index_length"	"L_index_angle"	"R_index_length"	"R_index_angle"	"R_ring_length"	"R_ring_angle"	"nCoders"	"julNotes"	"racNotes"	"tayNotes"
380	1.00011350737798	0.920373421197144	881	80.92	881.1	86.03	838	89.93	910.5	83.69	1	NA	NA	NA
381	0.957800656182826	0.941432396251673	883.9	83.96	846.6	87.9	843.9	85.24	896.4	88.27	1	NA	NA	NA
382	0.971309771309771	0.99179366940211	962	86.3	934.4	85.89	930.6	84.94	938.3	86.95	1	NA	NA	NA
383	0.914962776554472	0.955104281009879	953.7	87.78	872.6	85.6	870.1	89.14	911	82.87	1	NA	NA	NA
384	0.975857127108367	0.962958855495176	907.1	83.92	885.2	88.77	868.3	86.83	901.7	86.44	1	NA	NA	NA
385	0.942254174397032	0.961905857981356	862.4	83.01	812.6	80.29	835.8	87.46	868.9	86.24	1	NA	NA	NA
386	0.995475638051044	0.975148066426664	862	85.21	858.1	89	839.7	87.68	861.1	85.14	1	NA	NA	NA
387	0.966563962113432	0.963600187265918	876.3	83.12	847	89.73	823.3	86.8	854.4	88.32	1	NA	NA	NA
388	0.96128170894526	1.00923894214112	898.8	82.46	864	89.47	873.9	86.19	865.9	87.35	1	NA	NA	NA
389	0.926748582230624	0.972852316602317	846.4	85.66	784.4	86.56	806.3	88.51	828.8	83.21	1	NA	NA	NA
390	0.934602908862614	0.9326801517067	955.7	87.78	893.2	84.47	885.3	88.51	949.2	87.1	1	NA	NA	NA
391	0.957108114083573	0.956178400622845	904.6	87.91	865.8	82.3	859.7	82.31	899.1	89.24	1	NA	NA	NA
392	0.965528933092224	0.971357969223857	884.8	87.6	854.3	88.39	864.8	86.35	890.3	85.88	1	NA	NA	NA
393	0.942124797030851	0.95020455873758	862.2	87.01	812.3	88.38	812.9	81.51	855.5	85.64	1	NA	NA	NA
394	0.989574694941358	1.0009484291642	844.1	89.19	835.3	76.15	844.3	71.35	843.5	83.46	1	NA	NA	NA
395	0.944219977553311	0.910669705850429	891	89.49	841.3	84.2	839	89.8	921.3	88.45	1	NA	NA	NA
396	0.945784490532011	0.976949541284404	887.2	88.71	839.1	82.54	851.9	80.81	872	89.74	1	NA	NA	NA
397	0.972767648433848	0.994128009395185	855.6	84.03	832.3	82.96	846.5	79.38	851.5	88.12	1	NA	NA	NA
398	0.963587401943566	0.940801668211307	854.1	82.13	823	89.58	812.1	89.29	863.2	85.08	1	NA	NA	NA
399	0.935222209528162	0.917566016073479	875.3	86.86	818.6	85.45	799.2	84.9	871	87.3	1	NA	NA	NA
400	0.956335973322218	0.988692655610597	959.6	83.3	917.7	86.5	918.1	87.19	928.6	85.74	1	NA	NA	NA
