"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",70.1733101774032,122.75551715612,0.571650967737416,0.568041181821374
"2","Difficulty1",-75.7980469702053,122.755517156102,-0.617471611266294,0.537451924509242
"3","Violence1",-32.1071222081049,122.755517156118,-0.261553394518894,0.793868186350843
"4","R2d4d_std",2.33408230961376,4.46840827095786,0.522352069926999,0.601859963489374
"5","Difficulty1:Violence1",-63.3361586246908,122.75551715612,-0.515953662140824,0.606315371973849
"6","Difficulty1:R2d4d_std",-2.76438619015944,4.46840827095718,-0.618651211467587,0.536675562325232
"7","Violence1:R2d4d_std",-1.17400900385176,4.46840827095776,-0.262735393156033,0.792957911824923
"8","Difficulty1:Violence1:R2d4d_std",-2.29687112360835,4.46840827095785,-0.514024454420766,0.607661643611334
