"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",6.05176226678244,0.149140405296675,40.5776171436848,5.97468916312455e-116
"2","Difficulty1",0.144742538832795,0.149140405296675,0.970511904838053,0.332673041027823
"3","Violence1",0.145071417593691,0.149140405296674,0.972717066881446,0.331577644208386
"4","R2d4d_std",0.0786929086048936,0.150651089821442,0.52235206992637,0.601859963489811
"5","Difficulty1:Violence1",-0.236870655987875,0.149140405296675,-1.58823932063671,0.113420125960094
"6","Difficulty1:R2d4d_std",-0.09320047922701,0.150651089821442,-0.618651211468002,0.536675562324958
"7","Violence1:R2d4d_std",-0.0395813733136635,0.150651089821442,-0.262735393156313,0.792957911824707
"8","Difficulty1:Violence1:R2d4d_std",-0.0774383442532203,0.150651089821442,-0.514024454419835,0.607661643611985
