"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",0.00069307629603973,0.0575582248348233,0.0120413077023948,0.990402378681984
"2","Violence1",-0.0163401186207697,0.0575582248348234,-0.283888508856231,0.776733648068096
"3","Difficulty1",-0.00961314277564141,0.0575582248348233,-0.167015970406116,0.867494132065619
"4","Violence1:Difficulty1",-0.0493362963031855,0.0575582248348233,-0.857154584679557,0.392190335692602
