"","Violence","Difficulty","M","sd"
"1","Violent","Hard",6.1304347826087,2.46094818812886
"2","Violent","Easy",6.3134328358209,2.23748340250408
"3","Less Violent","Hard",6.28985507246377,2.46803952487277
"4","Less Violent","Easy",5.52857142857143,2.54080569540068
