"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",6.07177998859,0.147862620294083,41.0636574444161,6.85066729612961e-117
"2","Difficulty1",0.125940949393583,0.147862620294083,0.851742983744639,0.395125804983961
"3","Violence1",0.132426209766305,0.147862620294083,0.895603023285559,0.371277607488729
"4","L2d4d_std",-0.167427856486629,0.150256161418759,-1.11428280148867,0.266167466743006
"5","Difficulty1:Violence1",-0.224895728405368,0.147862620294083,-1.52097756659576,0.129457742482395
"6","Difficulty1:L2d4d_std",0.0690955779556565,0.150256161418758,0.45985187764174,0.645999592823759
"7","Violence1:L2d4d_std",-0.124978268616397,0.150256161418758,-0.83176801161642,0.406288775767585
"8","Difficulty1:Violence1:L2d4d_std",-0.0248633601848417,0.150256161418758,-0.165473148988203,0.868697747161988
