"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",-137.17016767189,128.549916332565,-1.06705761921326,0.286916956646353
"2","Difficulty1",59.2402685694306,128.54991633259,0.460834750107201,0.645295134429765
"3","Violence1",-106.792018667698,128.549916332566,-0.830743587505891,0.406866331897197
"4","L2d4d_std",-5.08695539486619,4.56522831374113,-1.11428280148765,0.266167466743446
"5","Difficulty1:Violence1",-21.4966017216438,128.549916332569,-0.167223770617092,0.867321516057545
"6","Difficulty1:L2d4d_std",2.09932881193016,4.56522831374204,0.459851877640129,0.645999592824914
"7","Violence1:L2d4d_std",-3.79721087709392,4.56522831374118,-0.831768011616076,0.406288775767779
"8","Difficulty1:Violence1:L2d4d_std",-0.755422704924351,4.56522831374128,-0.165473148988089,0.868697747162078
